0.000,-1.000,0.000,0.000,0.000,0.000
0.000,-1.000,0.000,0.000,0.000,0.000
0.000,-1.000,-0.000,0.000,0.000,-0.000
0.000,-1.000,-0.000,0.000,0.000,-0.000
0.000,-1.000,-0.000,0.000,0.000,-0.000
0.000,-1.000,-0.000,0.000,0.000,-0.000
0.000,-1.000,-0.000,0.000,0.000,-0.000
0.000,-1.000,-0.000,0.000,0.000,-0.000
0.000,-1.000,-0.000,0.000,0.000,-0.000
0.000,-0.999,-0.001,0.000,0.000,-0.000
0.000,-0.999,-0.001,0.000,0.000,-0.000
0.000,-0.999,-0.001,0.000,0.000,-0.000
0.000,-0.999,-0.001,0.000,0.000,-0.000
0.000,-0.999,-0.001,0.000,0.000,-0.000
0.000,-0.999,-0.002,0.000,0.000,-0.000
0.000,-0.998,-0.002,0.000,0.000,-0.000
0.000,-0.998,-0.002,0.000,0.000,-0.000
0.000,-0.998,-0.002,0.000,0.000,-0.000
0.000,-0.998,-0.003,0.000,0.000,-0.000
0.001,-0.997,-0.003,0.001,0.000,-0.000
0.001,-0.997,-0.003,0.001,0.000,-0.000
0.001,-0.997,-0.004,0.001,0.000,-0.000
0.001,-0.997,-0.004,0.001,0.000,-0.000
0.001,-0.996,-0.004,0.001,0.000,-0.000
0.001,-0.996,-0.005,0.001,0.000,-0.000
0.001,-0.996,-0.005,0.001,0.001,-0.000
0.001,-0.995,-0.006,0.001,0.001,-0.000
0.001,-0.995,-0.006,0.001,0.001,-0.000
0.001,-0.994,-0.006,0.001,0.001,-0.000
0.001,-0.994,-0.007,0.001,0.001,-0.000
0.001,-0.994,-0.007,0.001,0.001,-0.000
0.001,-0.993,-0.008,0.001,0.001,-0.000
0.002,-0.993,-0.008,0.001,0.001,-0.000
0.002,-0.992,-0.009,0.002,0.001,-0.000
0.002,-0.992,-0.010,0.002,0.001,-0.000
0.002,-0.991,-0.010,0.002,0.001,-0.000
0.002,-0.991,-0.011,0.002,0.001,-0.000
0.002,-0.990,-0.011,0.002,0.001,-0.000
0.002,-0.990,-0.012,0.002,0.001,-0.000
0.002,-0.989,-0.013,0.002,0.001,-0.000
0.002,-0.988,-0.013,0.002,0.001,-0.000
